date,z,z_min,z_max,direction,ref_dem_year
2016-11-24,1229.0,1182.0,1260.0,ascending,2013
2016-12-18,1182.0,1182.0,1186.0,ascending,2013
2017-01-11,1182.0,1182.0,1182.0,ascending,2013
2017-02-04,1182.0,1182.0,1182.0,ascending,2013
2017-02-28,1182.0,1182.0,1182.0,ascending,2013
2017-03-12,1182.0,1182.0,1182.0,ascending,2013
2017-03-24,1182.0,1182.0,1182.0,ascending,2013
2017-04-05,1182.0,1182.0,1182.0,ascending,2013
2017-04-17,1239.0,1209.0,1265.0,ascending,2013
2017-04-29,1543.0,1497.0,1579.0,ascending,2013
2017-05-11,1915.0,1864.0,1966.0,ascending,2013
2017-05-23,1844.0,1812.0,1878.0,ascending,2013
2017-06-04,2312.0,2273.0,2387.0,ascending,2013
2017-06-16,2324.0,2307.0,2371.0,ascending,2013
2017-06-28,2329.0,2314.0,2371.0,ascending,2013
2017-07-10,2360.0,2326.0,2371.0,ascending,2013
2017-07-22,2340.0,2318.0,2371.0,ascending,2013
2017-08-15,2335.0,2315.0,2387.0,ascending,2013
2017-08-27,2346.0,2318.0,2387.0,ascending,2013
2017-09-08,2364.0,2346.0,2385.0,ascending,2013
2017-09-20,2288.0,2239.0,2360.0,ascending,2013
2017-10-02,2215.0,2155.0,2303.0,ascending,2013
2017-11-07,1428.0,1186.0,1625.0,ascending,2013
2017-12-01,1182.0,1182.0,1182.0,ascending,2013
2017-12-13,1182.0,1182.0,1182.0,ascending,2013
2018-01-06,1182.0,1182.0,1182.0,ascending,2013
2018-01-18,1182.0,1182.0,1182.0,ascending,2013
2018-02-11,1182.0,1182.0,1182.0,ascending,2013
2018-02-23,1182.0,1182.0,1182.0,ascending,2013
2018-03-07,1182.0,1182.0,1182.0,ascending,2013
2018-03-19,1182.0,1182.0,1182.0,ascending,2013
2018-03-31,1182.0,1182.0,1182.0,ascending,2013
2018-04-12,1304.0,1284.0,1327.0,ascending,2013
2018-04-24,1365.0,1353.0,1374.0,ascending,2013
2018-05-06,1199.0,1186.0,1211.0,ascending,2013
2018-05-18,1729.0,1704.0,1757.0,ascending,2013
2018-05-30,2184.0,2139.0,2231.0,ascending,2013
2018-06-11,2385.0,2371.0,2387.0,ascending,2013
2018-06-23,2385.0,2371.0,2387.0,ascending,2013
2018-07-05,2369.0,2360.0,2387.0,ascending,2013
2018-07-17,2371.0,2369.0,2387.0,ascending,2013
2018-07-29,2333.0,2314.0,2387.0,ascending,2013
2018-08-10,2368.0,2356.0,2387.0,ascending,2013
2018-08-22,2329.0,2312.0,2385.0,ascending,2013
2018-09-03,2335.0,2315.0,2387.0,ascending,2013
2018-09-15,2364.0,2340.0,2387.0,ascending,2013
2018-10-09,2329.0,2312.0,2385.0,ascending,2013
2018-10-21,2011.0,1859.0,2247.0,ascending,2013
2018-11-02,1807.0,1272.0,2066.0,ascending,2013
2018-11-14,1853.0,1500.0,2063.0,ascending,2013
2018-12-08,1560.0,1186.0,1782.0,ascending,2013
2018-12-20,1404.0,1182.0,1577.0,ascending,2013
2019-01-01,1310.0,1182.0,1418.0,ascending,2013
2019-01-13,1200.0,1182.0,1214.0,ascending,2013
2019-01-25,1182.0,1182.0,1182.0,ascending,2013
2019-02-06,1182.0,1182.0,1182.0,ascending,2013
2019-02-18,1182.0,1182.0,1182.0,ascending,2013
2019-03-02,1182.0,1182.0,1182.0,ascending,2013
2019-03-14,1182.0,1182.0,1182.0,ascending,2013
2019-03-26,1182.0,1182.0,1182.0,ascending,2013
2019-04-07,1182.0,1182.0,1182.0,ascending,2013
2019-04-19,1342.0,1251.0,1413.0,ascending,2013
2019-05-01,2132.0,2048.0,2252.0,ascending,2013
2019-05-13,1744.0,1678.0,1804.0,ascending,2013
2019-05-25,2387.0,2387.0,2387.0,ascending,2013
2019-06-06,2385.0,2371.0,2387.0,ascending,2013
2019-06-18,2361.0,2333.0,2387.0,ascending,2013
2019-06-30,2326.0,2307.0,2387.0,ascending,2013
2019-07-12,2324.0,2307.0,2385.0,ascending,2013
2019-07-24,2346.0,2318.0,2387.0,ascending,2013
2019-08-05,2346.0,2318.0,2387.0,ascending,2013
2019-08-17,2340.0,2317.0,2387.0,ascending,2013
2019-08-29,2324.0,2299.0,2385.0,ascending,2013
2019-09-10,2370.0,2364.0,2387.0,ascending,2013
2019-09-22,2323.0,2307.0,2364.0,ascending,2013
2019-10-04,2229.0,2190.0,2287.0,ascending,2013
2019-10-16,1806.0,1305.0,2045.0,ascending,2013
2019-10-28,1615.0,1224.0,1837.0,ascending,2013
2019-11-09,1369.0,1200.0,1501.0,ascending,2013
2019-11-21,1312.0,1182.0,1418.0,ascending,2013
2019-12-03,1220.0,1182.0,1244.0,ascending,2013
2019-12-15,1187.0,1182.0,1194.0,ascending,2013
2019-12-27,1182.0,1182.0,1182.0,ascending,2013
2020-01-08,1186.0,1182.0,1191.0,ascending,2013
2020-01-20,1182.0,1182.0,1182.0,ascending,2013
2020-02-01,1182.0,1182.0,1182.0,ascending,2013
2020-02-13,1182.0,1182.0,1182.0,ascending,2013
2020-02-25,1182.0,1182.0,1186.0,ascending,2013
2020-03-08,1182.0,1182.0,1182.0,ascending,2013
2020-03-20,1182.0,1182.0,1182.0,ascending,2013
2020-04-01,1182.0,1182.0,1182.0,ascending,2013
2020-04-13,1182.0,1182.0,1182.0,ascending,2013
2020-04-25,1521.0,1509.0,1534.0,ascending,2013
2020-05-07,1953.0,1880.0,2059.0,ascending,2013
2020-05-19,2230.0,2180.0,2312.0,ascending,2013
2020-05-31,2371.0,2369.0,2387.0,ascending,2013
2020-06-12,2387.0,2387.0,2387.0,ascending,2013
2020-06-24,2387.0,2387.0,2387.0,ascending,2013
2020-07-06,2371.0,2369.0,2387.0,ascending,2013
2020-07-18,2361.0,2335.0,2385.0,ascending,2013
2020-07-30,2335.0,2315.0,2387.0,ascending,2013
2020-08-11,2370.0,2364.0,2387.0,ascending,2013
2020-08-23,2360.0,2329.0,2387.0,ascending,2013
2020-09-04,2387.0,2387.0,2387.0,ascending,2013
2020-09-16,2356.0,2324.0,2385.0,ascending,2013
2020-09-28,2318.0,2293.0,2370.0,ascending,2013
2020-10-10,2270.0,2228.0,2324.0,ascending,2013
2020-11-03,2197.0,2147.0,2248.0,ascending,2013
2020-11-15,1757.0,1194.0,2007.0,ascending,2013
2020-11-27,1628.0,1186.0,1864.0,ascending,2013
2020-12-09,1450.0,1186.0,1664.0,ascending,2013
2020-12-21,1253.0,1182.0,1321.0,ascending,2013
2021-01-02,1182.0,1182.0,1182.0,ascending,2013
2021-01-14,1182.0,1182.0,1182.0,ascending,2013
2021-01-26,1187.0,1182.0,1194.0,ascending,2013
2021-02-07,1182.0,1182.0,1182.0,ascending,2013
2021-02-19,1182.0,1182.0,1182.0,ascending,2013
2021-03-03,1182.0,1182.0,1182.0,ascending,2013
2021-03-15,1182.0,1182.0,1182.0,ascending,2013
2021-03-27,1182.0,1182.0,1182.0,ascending,2013
2021-04-08,1182.0,1182.0,1182.0,ascending,2013
2021-04-20,1955.0,1851.0,2093.0,ascending,2013
2021-05-02,1664.0,1517.0,1767.0,ascending,2013
2021-05-14,2060.0,1980.0,2163.0,ascending,2013
2021-05-26,2203.0,2151.0,2251.0,ascending,2013
2021-06-07,2361.0,2333.0,2387.0,ascending,2013
2021-06-19,2371.0,2369.0,2387.0,ascending,2013
