date,z,z_min,z_max,direction,ref_dem_year
2016-11-24,1182.0,1182.0,1182.0,ascending,2013
2016-12-18,1182.0,1182.0,1182.0,ascending,2013
2017-01-11,1182.0,1182.0,1182.0,ascending,2013
2017-02-04,1182.0,1182.0,1182.0,ascending,2013
2017-02-28,1182.0,1182.0,1182.0,ascending,2013
2017-03-12,1182.0,1182.0,1182.0,ascending,2013
2017-03-24,1182.0,1182.0,1182.0,ascending,2013
2017-04-05,1182.0,1182.0,1182.0,ascending,2013
2017-04-17,1199.0,1196.0,1204.0,ascending,2013
2017-04-29,1203.0,1186.0,1239.0,ascending,2013
2017-05-11,1429.0,1347.0,1546.0,ascending,2013
2017-05-23,1270.0,1182.0,1354.0,ascending,2013
2017-06-04,1429.0,1404.0,1491.0,ascending,2013
2017-06-16,1600.0,1546.0,1645.0,ascending,2013
2017-06-28,1637.0,1593.0,1698.0,ascending,2013
2017-07-10,1747.0,1694.0,1811.0,ascending,2013
2017-07-22,1804.0,1736.0,1868.0,ascending,2013
2017-08-15,1704.0,1652.0,1746.0,ascending,2013
2017-08-27,1740.0,1706.0,1780.0,ascending,2013
2017-09-08,1714.0,1672.0,1774.0,ascending,2013
2017-09-20,1611.0,1534.0,1718.0,ascending,2013
2017-10-02,1729.0,1657.0,1877.0,ascending,2013
2017-11-07,1182.0,1182.0,1182.0,ascending,2013
2017-12-01,1182.0,1182.0,1182.0,ascending,2013
2017-12-13,1182.0,1182.0,1182.0,ascending,2013
2018-01-06,1182.0,1182.0,1182.0,ascending,2013
2018-01-18,1182.0,1182.0,1182.0,ascending,2013
2018-02-11,1182.0,1182.0,1182.0,ascending,2013
2018-02-23,1182.0,1182.0,1182.0,ascending,2013
2018-03-07,1182.0,1182.0,1182.0,ascending,2013
2018-03-19,1182.0,1182.0,1182.0,ascending,2013
2018-03-31,1182.0,1182.0,1182.0,ascending,2013
2018-04-12,1278.0,1275.0,1281.0,ascending,2013
2018-04-24,1239.0,1232.0,1336.0,ascending,2013
2018-05-06,1182.0,1182.0,1182.0,ascending,2013
2018-05-18,1182.0,1182.0,1276.0,ascending,2013
2018-05-30,1182.0,1182.0,1435.0,ascending,2013
2018-06-11,1420.0,1389.0,1469.0,ascending,2013
2018-06-23,1479.0,1440.0,1527.0,ascending,2013
2018-07-05,1573.0,1556.0,1610.0,ascending,2013
2018-07-17,1603.0,1582.0,1628.0,ascending,2013
2018-07-29,1705.0,1652.0,1772.0,ascending,2013
2018-08-10,1754.0,1705.0,1813.0,ascending,2013
2018-08-22,1741.0,1713.0,1855.0,ascending,2013
2018-09-03,1657.0,1614.0,1706.0,ascending,2013
2018-09-15,1806.0,1745.0,1883.0,ascending,2013
2018-10-09,1766.0,1746.0,2049.0,ascending,2013
2018-10-21,1332.0,1312.0,1786.0,ascending,2013
2018-11-02,1270.0,1270.0,1270.0,ascending,2013
2018-11-14,1488.0,1476.0,1497.0,ascending,2013
2018-12-08,1182.0,1182.0,1182.0,ascending,2013
2018-12-20,1182.0,1182.0,1182.0,ascending,2013
2019-01-01,1182.0,1182.0,1182.0,ascending,2013
2019-01-13,1182.0,1182.0,1182.0,ascending,2013
2019-01-25,1182.0,1182.0,1182.0,ascending,2013
2019-02-06,1182.0,1182.0,1182.0,ascending,2013
2019-02-18,1182.0,1182.0,1182.0,ascending,2013
2019-03-02,1182.0,1182.0,1182.0,ascending,2013
2019-03-14,1182.0,1182.0,1182.0,ascending,2013
2019-03-26,1182.0,1182.0,1182.0,ascending,2013
2019-04-07,1182.0,1182.0,1182.0,ascending,2013
2019-04-19,1250.0,1250.0,1250.0,ascending,2013
2019-05-01,1187.0,1182.0,1839.0,ascending,2013
2019-05-13,1182.0,1182.0,1286.0,ascending,2013
2019-05-25,1295.0,1265.0,1342.0,ascending,2013
2019-06-06,1444.0,1419.0,1521.0,ascending,2013
2019-06-18,1541.0,1510.0,1578.0,ascending,2013
2019-06-30,1681.0,1648.0,1812.0,ascending,2013
2019-07-12,1818.0,1785.0,1923.0,ascending,2013
2019-07-24,1935.0,1878.0,2047.0,ascending,2013
2019-08-05,1908.0,1850.0,2012.0,ascending,2013
2019-08-17,1894.0,1841.0,1980.0,ascending,2013
2019-08-29,1905.0,1840.0,2040.0,ascending,2013
2019-09-10,1905.0,1859.0,1997.0,ascending,2013
2019-09-22,1518.0,1509.0,1738.0,ascending,2013
2019-10-04,1698.0,1673.0,2044.0,ascending,2013
2019-10-16,1304.0,1304.0,1304.0,ascending,2013
2019-10-28,1223.0,1223.0,1223.0,ascending,2013
2019-11-09,1199.0,1199.0,1199.0,ascending,2013
2019-11-21,1182.0,1182.0,1182.0,ascending,2013
2019-12-03,1182.0,1182.0,1182.0,ascending,2013
2019-12-15,1182.0,1182.0,1182.0,ascending,2013
2019-12-27,1182.0,1182.0,1182.0,ascending,2013
2020-01-08,1182.0,1182.0,1182.0,ascending,2013
2020-01-20,1182.0,1182.0,1182.0,ascending,2013
2020-02-01,1182.0,1182.0,1182.0,ascending,2013
2020-02-13,1182.0,1182.0,1182.0,ascending,2013
2020-02-25,1182.0,1182.0,1182.0,ascending,2013
2020-03-08,1182.0,1182.0,1182.0,ascending,2013
2020-03-20,1182.0,1182.0,1182.0,ascending,2013
2020-04-01,1182.0,1182.0,1182.0,ascending,2013
2020-04-13,1182.0,1182.0,1182.0,ascending,2013
2020-04-25,1182.0,1182.0,1295.0,ascending,2013
2020-05-07,1182.0,1182.0,1718.0,ascending,2013
2020-05-19,1265.0,1193.0,1628.0,ascending,2013
2020-05-31,1396.0,1358.0,1430.0,ascending,2013
2020-06-12,1457.0,1429.0,1535.0,ascending,2013
2020-06-24,1334.0,1314.0,1356.0,ascending,2013
2020-07-06,1602.0,1544.0,1702.0,ascending,2013
2020-07-18,1608.0,1594.0,1773.0,ascending,2013
2020-07-30,1721.0,1665.0,1868.0,ascending,2013
2020-08-11,1706.0,1684.0,1840.0,ascending,2013
2020-08-23,1884.0,1809.0,1990.0,ascending,2013
2020-09-04,1583.0,1570.0,1664.0,ascending,2013
2020-09-16,1731.0,1700.0,1906.0,ascending,2013
2020-09-28,1724.0,1661.0,1945.0,ascending,2013
2020-10-10,1730.0,1716.0,2014.0,ascending,2013
2020-11-03,1846.0,1846.0,2136.0,ascending,2013
2020-11-15,1193.0,1193.0,1193.0,ascending,2013
2020-11-27,1182.0,1182.0,1182.0,ascending,2013
2020-12-09,1182.0,1182.0,1182.0,ascending,2013
2020-12-21,1182.0,1182.0,1182.0,ascending,2013
2021-01-02,1182.0,1182.0,1182.0,ascending,2013
2021-01-14,1182.0,1182.0,1182.0,ascending,2013
2021-01-26,1182.0,1182.0,1182.0,ascending,2013
2021-02-07,1182.0,1182.0,1182.0,ascending,2013
2021-02-19,1182.0,1182.0,1182.0,ascending,2013
2021-03-03,1182.0,1182.0,1182.0,ascending,2013
2021-03-15,1182.0,1182.0,1182.0,ascending,2013
2021-03-27,1182.0,1182.0,1182.0,ascending,2013
2021-04-08,1182.0,1182.0,1182.0,ascending,2013
2021-04-20,1182.0,1182.0,1698.0,ascending,2013
2021-05-02,1186.0,1182.0,1314.0,ascending,2013
2021-05-14,1219.0,1196.0,1588.0,ascending,2013
2021-05-26,1344.0,1296.0,1603.0,ascending,2013
2021-06-07,1414.0,1381.0,1485.0,ascending,2013
2021-06-19,1524.0,1508.0,1554.0,ascending,2013
2021-07-01,1625.0,1604.0,1671.0,ascending,2013
2021-07-13,1653.0,1638.0,1687.0,ascending,2013
2021-07-25,1720.0,1694.0,1798.0,ascending,2013
2021-08-06,1819.0,1760.0,1885.0,ascending,2013
2021-08-18,1559.0,1535.0,1576.0,ascending,2013
2021-08-30,1729.0,1672.0,1807.0,ascending,2013
2021-09-11,1761.0,1724.0,1795.0,ascending,2013
2021-09-23,1868.0,1826.0,1924.0,ascending,2013
2021-10-05,1840.0,1828.0,1987.0,ascending,2013
2021-10-17,1987.0,1941.0,2137.0,ascending,2013
2021-10-29,1881.0,1878.0,2114.0,ascending,2013
2021-11-10,1182.0,1182.0,1182.0,ascending,2013
2021-11-22,1186.0,1186.0,1186.0,ascending,2013
2021-12-04,1182.0,1182.0,1182.0,ascending,2013
2021-12-16,1182.0,1182.0,1182.0,ascending,2013
2017-06-14,1715.0,1671.0,1929.0,descending,2013
2017-06-26,1878.0,1805.0,1951.0,descending,2013
2017-07-08,1885.0,1859.0,2059.0,descending,2013
2017-07-20,1894.0,1872.0,2049.0,descending,2013
2017-08-01,1895.0,1878.0,2090.0,descending,2013
2017-08-13,1862.0,1861.0,2136.0,descending,2013
2017-08-25,1869.0,1836.0,1906.0,descending,2013
2017-09-06,1931.0,1919.0,2151.0,descending,2013
2017-09-18,1889.0,1857.0,2153.0,descending,2013
2017-09-30,1720.0,1698.0,2115.0,descending,2013
2017-10-12,1898.0,1894.0,2151.0,descending,2013
2017-10-24,1185.0,1185.0,1185.0,descending,2013
2017-11-05,1185.0,1185.0,1185.0,descending,2013
2017-11-17,1185.0,1185.0,1185.0,descending,2013
2017-11-29,1185.0,1185.0,1185.0,descending,2013
2017-12-11,1185.0,1185.0,1185.0,descending,2013
2017-12-23,1185.0,1185.0,1185.0,descending,2013
2018-01-04,1185.0,1185.0,1185.0,descending,2013
2018-01-16,1185.0,1185.0,1185.0,descending,2013
2018-01-28,1185.0,1185.0,1185.0,descending,2013
2018-02-09,1185.0,1185.0,1185.0,descending,2013
2018-02-21,1185.0,1185.0,1185.0,descending,2013
2018-03-05,1185.0,1185.0,1185.0,descending,2013
2018-03-17,1185.0,1185.0,1185.0,descending,2013
2018-03-29,1185.0,1185.0,1185.0,descending,2013
2018-04-10,1185.0,1185.0,1185.0,descending,2013
2018-04-22,1185.0,1185.0,1185.0,descending,2013
2018-05-04,1185.0,1185.0,1185.0,descending,2013
2018-05-16,1185.0,1185.0,1230.0,descending,2013
2018-06-09,1299.0,1282.0,1345.0,descending,2013
2018-06-21,1391.0,1356.0,1416.0,descending,2013
2018-07-03,1567.0,1542.0,1596.0,descending,2013
2018-07-15,1603.0,1575.0,1629.0,descending,2013
2018-07-27,1788.0,1705.0,1872.0,descending,2013
2018-08-08,1782.0,1738.0,1855.0,descending,2013
2018-08-20,1859.0,1809.0,1926.0,descending,2013
2018-09-01,1727.0,1671.0,1805.0,descending,2013
2018-09-25,1653.0,1264.0,2003.0,descending,2013
2018-10-07,1813.0,1682.0,1929.0,descending,2013
2018-10-19,1248.0,1244.0,1708.0,descending,2013
2018-10-31,1288.0,1288.0,1288.0,descending,2013
2018-11-12,1685.0,1425.0,1845.0,descending,2013
2018-12-06,1185.0,1185.0,1185.0,descending,2013
2018-12-18,1185.0,1185.0,1185.0,descending,2013
2018-12-30,1185.0,1185.0,1185.0,descending,2013
2019-01-11,1185.0,1185.0,1185.0,descending,2013
2019-01-23,1185.0,1185.0,1185.0,descending,2013
2019-02-04,1185.0,1185.0,1185.0,descending,2013
2019-02-16,1185.0,1185.0,1185.0,descending,2013
2019-02-28,1185.0,1185.0,1185.0,descending,2013
2019-03-12,1185.0,1185.0,1185.0,descending,2013
2019-03-24,1185.0,1185.0,1185.0,descending,2013
2019-04-05,1185.0,1185.0,1185.0,descending,2013
2019-04-17,1185.0,1185.0,1185.0,descending,2013
2019-04-29,1185.0,1185.0,1185.0,descending,2013
2019-08-15,1908.0,1864.0,1996.0,descending,2013
2019-08-27,1887.0,1857.0,2115.0,descending,2013
2019-09-08,1916.0,1877.0,2043.0,descending,2013
2019-09-20,1487.0,1466.0,1780.0,descending,2013
2019-10-02,1715.0,1687.0,2077.0,descending,2013
2019-10-14,1240.0,1240.0,1240.0,descending,2013
2019-10-26,1213.0,1213.0,1213.0,descending,2013
2019-11-07,1193.0,1193.0,1193.0,descending,2013
2019-11-19,1185.0,1185.0,1185.0,descending,2013
2019-12-01,1185.0,1185.0,1185.0,descending,2013
2019-12-13,1185.0,1185.0,1185.0,descending,2013
2019-12-25,1185.0,1185.0,1185.0,descending,2013
2020-01-18,1185.0,1185.0,1185.0,descending,2013
2020-01-30,1185.0,1185.0,1185.0,descending,2013
2020-02-11,1185.0,1185.0,1185.0,descending,2013
2020-02-23,1185.0,1185.0,1185.0,descending,2013
2020-03-06,1185.0,1185.0,1185.0,descending,2013
2020-03-18,1185.0,1185.0,1185.0,descending,2013
2020-03-30,1185.0,1185.0,1185.0,descending,2013
2020-04-11,1185.0,1185.0,1185.0,descending,2013
2020-04-23,1185.0,1185.0,1238.0,descending,2013
2020-05-05,1191.0,1185.0,1261.0,descending,2013
2020-05-29,1255.0,1231.0,1425.0,descending,2013
2020-06-10,1378.0,1345.0,1439.0,descending,2013
2020-06-22,1269.0,1249.0,1290.0,descending,2013
2020-07-04,1568.0,1517.0,1607.0,descending,2013
2020-07-16,1641.0,1603.0,1804.0,descending,2013
2020-08-09,1788.0,1725.0,1866.0,descending,2013
2020-08-21,1851.0,1791.0,1926.0,descending,2013
2020-09-02,1575.0,1567.0,1709.0,descending,2013
2020-09-14,1729.0,1717.0,1949.0,descending,2013
2020-09-26,1639.0,1552.0,1998.0,descending,2013
2020-10-08,1773.0,1738.0,2104.0,descending,2013
2020-10-20,1904.0,1893.0,2176.0,descending,2013
2020-11-01,1905.0,1905.0,2077.0,descending,2013
2020-11-13,1185.0,1185.0,1185.0,descending,2013
2020-11-25,1185.0,1185.0,1185.0,descending,2013
2020-12-07,1185.0,1185.0,1185.0,descending,2013
2020-12-19,1185.0,1185.0,1185.0,descending,2013
2020-12-31,1185.0,1185.0,1185.0,descending,2013
2021-01-12,1185.0,1185.0,1185.0,descending,2013
2021-01-24,1185.0,1185.0,1185.0,descending,2013
2021-02-05,1185.0,1185.0,1185.0,descending,2013
2021-02-17,1185.0,1185.0,1185.0,descending,2013
2021-03-01,1185.0,1185.0,1185.0,descending,2013
2021-03-13,1185.0,1185.0,1185.0,descending,2013
2021-03-25,1185.0,1185.0,1185.0,descending,2013
2021-04-06,1185.0,1185.0,1185.0,descending,2013
2021-04-18,1185.0,1185.0,1185.0,descending,2013
2021-04-30,1185.0,1185.0,1304.0,descending,2013
2021-05-12,1189.0,1185.0,1403.0,descending,2013
2021-05-24,1339.0,1264.0,1558.0,descending,2013
2021-08-04,1821.0,1774.0,1903.0,descending,2013
2021-08-28,1722.0,1695.0,1753.0,descending,2013
2021-09-21,1848.0,1812.0,1930.0,descending,2013
2021-10-03,1897.0,1872.0,2077.0,descending,2013
2021-10-15,1987.0,1957.0,2176.0,descending,2013
2021-10-27,1986.0,1975.0,2141.0,descending,2013
2021-11-08,1185.0,1185.0,1185.0,descending,2013
2021-11-20,1185.0,1185.0,1185.0,descending,2013
2021-12-02,1185.0,1185.0,1185.0,descending,2013
2021-12-14,1185.0,1185.0,1185.0,descending,2013
2021-12-26,1185.0,1185.0,1185.0,descending,2013
2022-01-07,1185.0,1185.0,1185.0,descending,2013
2022-01-19,1185.0,1185.0,1185.0,descending,2013
2022-01-31,1185.0,1185.0,1185.0,descending,2013
2022-02-12,1185.0,1185.0,1185.0,descending,2013
2022-02-24,1185.0,1185.0,1185.0,descending,2013
2022-03-08,1185.0,1185.0,1185.0,descending,2013
2022-03-20,1185.0,1185.0,1185.0,descending,2013
2022-04-13,1185.0,1185.0,1185.0,descending,2013
2022-05-07,1185.0,1185.0,1255.0,descending,2013
2022-06-24,1671.0,1613.0,1739.0,descending,2013
2022-08-11,1552.0,1542.0,1565.0,descending,2013
2022-08-23,1834.0,1800.0,1888.0,descending,2013
2022-09-04,1644.0,1629.0,1660.0,descending,2013
2022-09-16,1320.0,1306.0,1556.0,descending,2013
2022-09-28,1426.0,1398.0,1682.0,descending,2013
2022-10-10,1207.0,1203.0,1794.0,descending,2013
2022-10-22,1883.0,1840.0,2138.0,descending,2013
2022-11-03,1775.0,1756.0,2109.0,descending,2013
2022-11-15,1892.0,1880.0,2108.0,descending,2013
2022-11-27,1900.0,1894.0,2131.0,descending,2013
2022-12-09,1897.0,1896.0,2121.0,descending,2013
2022-12-21,1185.0,1185.0,1185.0,descending,2013
2023-01-02,1185.0,1185.0,1185.0,descending,2013
2023-01-14,1185.0,1185.0,1185.0,descending,2013
2023-01-26,1185.0,1185.0,1185.0,descending,2013
2023-02-07,1185.0,1185.0,1185.0,descending,2013
2023-02-19,1185.0,1185.0,1185.0,descending,2013
2023-03-03,1185.0,1185.0,1185.0,descending,2013
2023-03-15,1185.0,1185.0,1185.0,descending,2013
2023-03-27,1185.0,1185.0,1185.0,descending,2013
2023-04-08,1185.0,1185.0,1185.0,descending,2013
2023-04-20,1185.0,1185.0,1185.0,descending,2013
2023-05-02,1185.0,1185.0,1185.0,descending,2013
2023-06-07,1207.0,1193.0,1473.0,descending,2013
